,T_source,T_shock,T_start,T_end,cat,T_source*,v_max_omni_body,v_average_omni_body,dst_min_omni_body,bx_average_omni_body,by_average_omni_body,bz_average_omni_body,temperature_omni_body
773,,2010-01-01 22:00:00,2010-01-01 22:00:00,2010-01-03 10:00:00,13,,304.0,287.84615384615387,-11.0,0.015384615384615472,3.6820512820512805,1.8615384615384618,24010.74358974359
774,,,2010-01-13 00:00:00,2010-01-13 05:00:00,3,,433.0,429.25,-8.0,1.2,-3.7,-0.2749999999999999,52276.375
775,,,2010-01-14 07:00:00,2010-01-14 15:00:00,3,,498.0,472.3636363636364,-14.0,4.3999999999999995,0.09999999999999999,-0.5636363636363636,110616.45454545454
776,,,2010-01-19 01:00:00,2010-01-19 12:00:00,3,,342.0,333.0,-3.0,-0.5,2.192857142857143,0.6357142857142859,22674.285714285714
777,,,2010-01-20 02:00:00,2010-01-20 09:00:00,3,,324.0,310.4,-5.0,0.9899999999999997,-1.1500000000000001,0.05999999999999994,16213.5
778,,,2010-01-22 11:00:00,2010-01-23 03:00:00,3,,445.0,382.3157894736842,-20.0,-2.705263157894736,2.7052631578947364,-1.2,35095.57894736842
779,,,2010-01-23 11:00:00,2010-01-24 04:00:00,3,,370.0,349.75,-19.0,-2.0849999999999995,0.8999999999999998,-1.645,19425.3
780,,2010-02-07 17:00:00,2010-02-07 18:00:00,2010-02-08 22:00:00,13,,403.0,367.83870967741933,-23.0,-2.4741935483870963,-4.590322580645162,4.019354838709677,26112.612903225807
781,2010-02-07 03:54:00,2010-02-11 00:00:00,2010-02-11 08:00:00,2010-02-12 03:00:00,13,,372.0,359.40909090909093,-19.0,0.7090909090909091,-4.386363636363637,2.5727272727272723,19643.954545454544
782,,,2010-02-14 00:00:00,2010-02-14 11:00:00,3,,314.0,308.2857142857143,-19.0,-0.042857142857142864,-5.742857142857142,-0.15714285714285722,10749.0
783,,2010-02-19 15:00:00,2010-02-19 15:00:00,2010-02-20 18:00:00,13,,496.0,440.1333333333333,-11.0,-3.7466666666666675,3.0799999999999996,2.243333333333333,27432.433333333334
784,,2010-02-21 00:00:00,2010-02-21 00:00:00,2010-02-22 00:00:00,13,,391.0,368.5925925925926,-5.0,-2.8703703703703707,5.370370370370369,0.4851851851851851,22796.444444444445
785,,2010-02-22 13:00:00,2010-02-22 13:00:00,2010-02-22 22:00:00,13,,371.0,360.3333333333333,-18.0,-1.3416666666666668,3.933333333333333,-2.6,27665.0
786,,,2010-02-25 14:00:00,2010-02-25 18:00:00,3,,362.0,357.14285714285717,-3.0,0.04285714285714283,3.971428571428571,2.1714285714285713,27790.571428571428
787,,,2010-03-09 05:00:00,2010-03-10 03:00:00,3,,386.0,364.52,-5.0,-0.4799999999999999,-3.312,3.6959999999999993,22123.48
788,,,2010-03-14 12:00:00,2010-03-15 12:00:00,3,,442.0,380.9259259259259,-13.0,-0.11111111111111142,0.251851851851852,-0.34074074074074073,29402.777777777777
789,,,2010-03-21 14:00:00,2010-03-22 23:00:00,3,,384.0,333.1388888888889,-2.0,-2.1527777777777777,1.2750000000000004,0.03333333333333332,15940.777777777777
790,,,2010-03-23 22:00:00,2010-03-24 12:00:00,3,,305.0,286.7647058823529,1.0,-2.0235294117647062,2.935294117647059,-0.3411764705882353,11930.764705882353
791,2010-04-03 10:33:00,2010-04-05 08:26:00,2010-04-05 12:00:00,2010-04-06 14:00:00,13,,783.0,634.8275862068965,-81.0,3.9034482758620688,-4.979310344827584,-1.6068965517241383,73609.4827586207
792,,2010-04-09 18:00:00,2010-04-09 18:00:00,2010-04-10 16:00:00,13,,468.0,431.2,-20.0,-1.6480000000000001,-0.49200000000000016,0.8439999999999998,29225.64
793,,,2010-04-11 03:00:00,2010-04-11 08:00:00,3,,381.0,372.125,-8.0,-0.5624999999999999,-3.0,2.0625,16022.625
794,2010-04-08 04:54:00,2010-04-11 13:04:00,2010-04-12 01:00:00,2010-04-12 15:00:00,13,,429.0,410.88235294117646,-51.0,-2.1117647058823525,-7.9411764705882355,3.6235294117647054,22349.764705882353
795,,,2010-04-18 05:00:00,2010-04-19 00:00:00,3,,382.0,357.5,-9.0,-1.931818181818182,2.509090909090909,0.1863636363636364,25924.636363636364
796,,2010-04-21 14:00:00,2010-04-22 05:00:00,2010-04-22 13:00:00,3,,419.0,400.6363636363636,-6.0,-3.736363636363636,3.8636363636363638,-0.05454545454545456,48877.181818181816
797,,2010-04-22 14:00:00,2010-04-23 00:00:00,2010-04-23 02:00:00,3,,440.0,423.2,-21.0,-3.3,-0.9600000000000002,-3.12,44352.6
798,,,2010-04-27 16:00:00,2010-04-28 06:00:00,3,,360.0,347.29411764705884,1.0,-0.39411764705882346,3.1823529411764704,1.6882352941176475,31580.0
799,,,2010-04-29 02:00:00,2010-04-29 06:00:00,3,,373.0,367.57142857142856,-2.0,0.2714285714285714,-3.7285714285714286,2.1714285714285713,32984.142857142855
800,,2010-04-30 06:00:00,2010-04-30 06:00:00,2010-05-01 12:00:00,13,,401.0,376.57575757575756,-7.0,3.166666666666666,-1.0454545454545456,-1.006060606060606,19702.21212121212
801,,,2010-05-18 04:00:00,2010-05-18 12:00:00,3,,365.0,357.90909090909093,-31.0,1.6727272727272726,-3.972727272727272,-3.7454545454545456,27833.18181818182
802,,,2010-05-18 22:00:00,2010-05-19 07:00:00,3,,360.0,353.25,-7.0,-0.0499999999999999,-0.875,7.983333333333333,29379.5
803,,,2010-05-21 07:00:00,2010-05-21 19:00:00,3,,466.0,437.26666666666665,-11.0,-2.6333333333333333,1.6600000000000001,0.25999999999999995,63277.46666666667
804,,,2010-05-22 12:00:00,2010-05-24 08:00:00,3,,393.0,363.93617021276594,-1.0,0.10425531914893621,2.7808510638297874,0.8340425531914892,29658.021276595744
805,2010-05-24 14:06:00,2010-05-28 02:58:00,2010-05-28 19:00:00,2010-05-29 17:00:00,13,,378.0,354.88,-85.0,-0.9800000000000004,-2.5359999999999996,-6.864,39567.12
806,,,2010-06-04 11:00:00,2010-06-05 16:00:00,3,,572.0,519.0,-28.0,1.7625,-1.6062500000000002,0.38749999999999996,81757.96875
807,,,2010-06-06 03:00:00,2010-06-06 18:00:00,3,,481.0,445.5,-20.0,1.8944444444444446,-1.5666666666666667,-0.6277777777777778,45992.555555555555
808,,,2010-06-07 02:00:00,2010-06-07 21:00:00,3,,453.0,402.45454545454544,-19.0,-3.1181818181818186,1.9545454545454548,-0.5681818181818181,48815.72727272727
809,,,2010-06-11 07:00:00,2010-06-11 13:00:00,3,,431.0,423.77777777777777,-6.0,2.2222222222222223,2.122222222222222,-0.6444444444444445,54898.333333333336
810,2010-06-16 06:35:00,2010-06-20 20:00:00,2010-06-21 06:00:00,2010-06-22 14:00:00,13,,403.0,362.1714285714286,-6.0,-0.38285714285714284,3.017142857142857,2.4057142857142857,24984.8
811,,2010-06-29 18:00:00,2010-06-30 06:00:00,2010-06-30 22:00:00,3,,683.0,647.2631578947369,-27.0,2.3947368421052633,-1.5421052631578949,0.02105263157894739,180290.15789473685
812,,,2010-07-23 12:00:00,2010-07-23 17:00:00,3,,407.0,391.625,1.0,-0.55,-8.075,1.4,41525.375
